fold,arch,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
1,resnet50v2,0.8153153153153153,0.8198914187808353,0.8144901065449011,0.8143509831116913,0.8194180287671607,0.8153153153153153,0.8145317953998709
2,resnet50v2,0.8288288288288288,0.8391487931432893,0.8276407914764079,0.8271311475409837,0.838393673803207,0.8288288288288288,0.8273626495347807
3,resnet50v2,0.8018018018018018,0.8122061768736166,0.8005479452054794,0.7996513178135576,0.8114802902406992,0.8018018018018018,0.7999318157250677
4,resnet50v2,0.8536036036036037,0.8592509920634921,0.8527549467275495,0.852790402301489,0.8586862532175032,0.8536036036036037,0.8529382570836915
5,resnet50v2,0.8490990990990991,0.8513419523770559,0.8485540334855404,0.8486930780694482,0.8510055243853624,0.8490990990990991,0.8487989965989223
1,densenet121,0.8581081081081081,0.8666541635408852,0.8570776255707763,0.8570048309178744,0.8659419922548205,0.8581081081081081,0.857174565870218
2,densenet121,0.8423423423423423,0.8597776492513334,0.8408523592085235,0.8399752857584183,0.8587520429625692,0.8423423423423423,0.8402382920455209
3,densenet121,0.8108108108108109,0.8114832535885168,0.8104718417047184,0.8105648110524177,0.8113280744859692,0.8108108108108109,0.8106570609618151
4,densenet121,0.8175675675675675,0.8389372822299652,0.8158599695585997,0.8140578548716491,0.8378319521612205,0.8175675675675675,0.8144030725138706
5,densenet121,0.8581081081081081,0.8677257525083613,0.8570167427701674,0.8568877746795938,0.8669664647925517,0.8581081081081081,0.8570663600593764
1,efficientnetb0,0.8355855855855856,0.8388149790588815,0.8349162861491628,0.8349753318364417,0.8384113048747195,0.8355855855855856,0.835110943780696
2,efficientnetb0,0.8085585585585585,0.812680412371134,0.8077625570776256,0.8076207467822097,0.8122387851769295,0.8085585585585585,0.8078022587389224
3,efficientnetb0,0.8220720720720721,0.824093773013665,0.8215220700152207,0.8215933308580061,0.8237905178724261,0.8220720720720721,0.8217182198703711
4,efficientnetb0,0.8445945945945946,0.851811835106383,0.8436225266362253,0.8435078435078436,0.8511750197671076,0.8445945945945946,0.8436840734138031
5,efficientnetb0,0.8603603603603603,0.8665645758748421,0.8594824961948249,0.8595366874170833,0.8659641679218278,0.8603603603603603,0.859682041465897
