epoch,accuracy,loss,lr,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.760757327079773,0.5458793640136719,0.001,0.7676646709442139,0.7418981790542603,0.8052884936332703,0.5040292739868164,0.9044586420059204,0.6826923489570618
1,0.8376362323760986,0.39191678166389465,0.001,0.8509091138839722,0.814385175704956,0.8365384936332703,0.41995182633399963,0.8608248233795166,0.8028846383094788
2,0.8473895788192749,0.33336490392684937,0.001,0.8611111044883728,0.8252314925193787,0.8341346383094788,0.40140989422798157,0.9017341136932373,0.75
3,0.8646012544631958,0.3072705864906311,0.001,0.872619092464447,0.8503480553627014,0.8437500596046448,0.356034517288208,0.9181286692619324,0.754807710647583
4,0.8904188275337219,0.267740398645401,0.001,0.9059107303619385,0.8692129850387573,0.8413462042808533,0.3348332345485687,0.9080459475517273,0.759615421295166
5,0.9070568084716797,0.2371271848678589,0.001,0.9150943756103516,0.8960738778114319,0.853365421295166,0.3430171012878418,0.9349112510681152,0.759615421295166
6,0.9271371364593506,0.19828878343105316,0.001,0.936170220375061,0.9156069159507751,0.8629807829856873,0.3524661064147949,0.9415204524993896,0.7740384936332703
7,0.9259896874427795,0.19181522727012634,0.001,0.9387754797935486,0.909302294254303,0.8557692766189575,0.38229018449783325,0.9302325248718262,0.7692307829856873
8,0.9449225664138794,0.14318519830703735,0.0005,0.9538461565971375,0.9339513182640076,0.8605769276618958,0.39269039034843445,0.9261363744735718,0.7836538553237915
9,0.9518072009086609,0.13225561380386353,0.0005,0.9531066417694092,0.9486581087112427,0.8629807829856873,0.4513007402420044,0.9467455744743347,0.7692307829856873
