epoch,accuracy,loss,lr,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.7837062478065491,0.4619842767715454,0.001,0.7921147346496582,0.7655889391899109,0.826923131942749,0.41844919323921204,0.9197530746459961,0.7163462042808533
1,0.8657487034797668,0.30338820815086365,0.001,0.8823529481887817,0.8391608595848083,0.8413462042808533,0.3708837628364563,0.9277108907699585,0.7403846383094788
2,0.8772231936454773,0.28863444924354553,0.001,0.8857142925262451,0.8631091117858887,0.822115421295166,0.41634756326675415,0.9785714149475098,0.6586538553237915
3,0.8869764804840088,0.2567795217037201,0.001,0.902557909488678,0.8636363744735718,0.8317307829856873,0.41490405797958374,0.948051929473877,0.701923131942749
4,0.9196786880493164,0.20978105068206787,0.001,0.9302600622177124,0.906682014465332,0.826923131942749,0.4441181719303131,0.95333331823349,0.6875
5,0.930579423904419,0.17054657638072968,0.0005,0.9363958239555359,0.9222738146781921,0.822115421295166,0.45519787073135376,0.9294871687889099,0.697115421295166
6,0.935742974281311,0.15319806337356567,0.0005,0.9496403336524963,0.9187935590744019,0.817307710647583,0.4608812630176544,0.9024389982223511,0.7115384936332703
