epoch,accuracy,loss,lr,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.8103585243225098,0.4160502254962921,0.001,0.8297820687294006,0.775286078453064,0.8414855003356934,0.3561716675758362,0.9374262094497681,0.7277726531028748
1,0.8371593356132507,0.35212594270706177,0.001,0.8680050373077393,0.7909901738166809,0.8586956858634949,0.3242788016796112,0.919268012046814,0.7827680706977844
2,0.8482415676116943,0.3382323086261749,0.001,0.8786893486976624,0.8038901686668396,0.8505434989929199,0.32765084505081177,0.9368541836738586,0.7479376792907715
3,0.8589845299720764,0.3189452886581421,0.001,0.8947900533676147,0.8097962737083435,0.8550724983215332,0.32499656081199646,0.8970134258270264,0.7983501553535461
4,0.8579667806625366,0.3146299421787262,0.001,0.8897519707679749,0.8131440281867981,0.8555253744125366,0.31965795159339905,0.8979381918907166,0.7983501553535461
5,0.8637340664863586,0.3045516014099121,0.001,0.897339403629303,0.8178906440734863,0.8514493107795715,0.33677375316619873,0.892086386680603,0.7956003546714783
6,0.864299476146698,0.30504941940307617,0.001,0.8983902931213379,0.8177655935287476,0.854619562625885,0.32054802775382996,0.9018789529800415,0.7919340133666992
7,0.8685966730117798,0.2989734411239624,0.001,0.8957358002662659,0.8310084939002991,0.8564311861991882,0.32376089692115784,0.945852518081665,0.7525206208229065
8,0.8721022605895996,0.28664353489875793,0.0005,0.9074634313583374,0.8248910903930664,0.8496376872062683,0.347027987241745,0.9523242115974426,0.7323556542396545
9,0.8805835247039795,0.27397245168685913,0.0005,0.9143142700195312,0.8369540572166443,0.8568840622901917,0.330698698759079,0.9272326827049255,0.7708524465560913
