epoch,accuracy,loss,lr,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.8558018803596497,0.32175445556640625,1e-05,0.874394953250885,0.8269627094268799,0.8614130616188049,0.3146999478340149,0.9454545378684998,0.763302743434906
1,0.8550102114677429,0.316328227519989,1e-05,0.8869390487670898,0.8097962737083435,0.8573369979858398,0.31731969118118286,0.9521586894989014,0.7486238479614258
2,0.8660936951637268,0.30941635370254517,1e-05,0.9051132202148438,0.8143739700317383,0.8591485619544983,0.3144940733909607,0.9523809552192688,0.752293586730957
3,0.8636055588722229,0.3072347939014435,1e-05,0.902234673500061,0.8122999668121338,0.8596014380455017,0.3119261562824249,0.9524362683296204,0.7532110214233398
4,0.8615698218345642,0.30600422620773315,1e-05,0.9016351699829102,0.8079212307929993,0.8636775612831116,0.30909696221351624,0.9508571624755859,0.763302743434906
5,0.8628138899803162,0.3030150532722473,1e-05,0.901297390460968,0.8111263513565063,0.8645833730697632,0.31219246983528137,0.9519999623298645,0.7642201781272888
6,0.8656412959098816,0.30094537138938904,1e-05,0.9017676115036011,0.8171625137329102,0.8618659377098083,0.31428974866867065,0.9537572264671326,0.7568807601928711
7,0.862248420715332,0.3044426441192627,1e-05,0.9007633328437805,0.8104395866394043,0.8632246255874634,0.3117286264896393,0.9497717618942261,0.763302743434906
8,0.8694865703582764,0.2967548370361328,1e-05,0.9075247645378113,0.8194921016693115,0.86548912525177,0.30625346302986145,0.9470123648643494,0.7706422209739685
9,0.8651888966560364,0.30015596747398376,1e-05,0.9033975601196289,0.8145861625671387,0.866847813129425,0.30909037590026855,0.956421971321106,0.7651376128196716
10,0.8700520396232605,0.29563239216804504,1e-05,0.9069766402244568,0.8212405443191528,0.86548912525177,0.311591774225235,0.9562715888023376,0.7623853087425232
11,0.8690341711044312,0.28976863622665405,1e-05,0.9090909361839294,0.8173515796661377,0.8682065606117249,0.30747923254966736,0.9524348378181458,0.7715596556663513
12,0.8642841577529907,0.29905402660369873,1e-05,0.9004799127578735,0.8156028389930725,0.8650362491607666,0.3128744065761566,0.9530892968177795,0.7642201781272888
13,0.8707306385040283,0.2921254336833954,1e-05,0.9106642603874207,0.818764328956604,0.8663949370384216,0.3079020082950592,0.9542856812477112,0.7660550475120544
14,0.870843768119812,0.2927858531475067,5e-06,0.9097151756286621,0.8196608424186707,0.8673007488250732,0.30761921405792236,0.9554285407066345,0.7669724822044373
15,0.8726533055305481,0.28966063261032104,5e-06,0.911167562007904,0.8222629427909851,0.8677536249160767,0.30828866362571716,0.9565218091011047,0.7669724822044373
16,0.8717485070228577,0.2915976345539093,5e-06,0.9129436016082764,0.8184939622879028,0.8682065606117249,0.3040088713169098,0.9524348378181458,0.7715596556663513
17,0.8732187747955322,0.28436732292175293,5e-06,0.9113250970840454,0.8234890103340149,0.8686594367027283,0.30427849292755127,0.9535147547721863,0.7715596556663513
18,0.8717485070228577,0.28933531045913696,5e-06,0.9122448563575745,0.8190563321113586,0.8709239363670349,0.3016285300254822,0.9548022747039795,0.7752293348312378
19,0.8741235733032227,0.28919872641563416,5e-06,0.9096400737762451,0.8273809552192688,0.8686594367027283,0.3052065372467041,0.9535147547721863,0.7715596556663513
