fold,arch,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
1,resnet50v2,0.8729157278053177,0.8779667910804863,0.872216868918629,0.8723245109321058,0.8774708685043787,0.8729157278053177,0.8724302252074484
2,resnet50v2,0.8760703019378098,0.8815579767590886,0.8753995258499521,0.8754705121886763,0.8810731998314137,0.8760703019378098,0.8755678806544447
3,resnet50v2,0.8841820639927895,0.8891381902588924,0.8835529405265048,0.8836785041543902,0.8886741334924033,0.8841820639927895,0.883764730154116
4,resnet50v2,0.8710550045085663,0.8754533315749563,0.8704241318292413,0.8705243133797067,0.8750100893124518,0.8710550045085663,0.8706214821779485
5,resnet50v2,0.8715058611361587,0.8754042191050677,0.8709120509517676,0.8710280682733291,0.8749888203051019,0.8715058611361587,0.8711200876395038
1,densenet121,0.8639026588553402,0.8703242432528733,0.8631037497318834,0.8631086325938636,0.8697667423566244,0.8639026588553402,0.8632354888604901
2,densenet121,0.8602974312753493,0.8747660398342613,0.8591930349665349,0.8586577738327128,0.8739675515031955,0.8602974312753493,0.8588292861175074
3,densenet121,0.8675078864353313,0.8820085719851938,0.8664145611837177,0.8659790722364472,0.8812011841483418,0.8675078864353313,0.8661403395570045
4,densenet121,0.8642921550946799,0.8754459479561402,0.8632850618681447,0.8630289763046108,0.8747209514201453,0.8642921550946799,0.8631831671428352
5,densenet121,0.8597835888187556,0.8703146966129932,0.8587970191394407,0.8585274382296559,0.8696162047694979,0.8597835888187556,0.8586837057670559
1,efficientnetb0,0.8697611536728256,0.8729790024738701,0.8691989327336189,0.8693398749206667,0.8725928606177448,0.8697611536728256,0.8694301489389864
2,efficientnetb0,0.8657052726453357,0.8712691408219088,0.8650179471805296,0.8650296204854886,0.8707878373464266,0.8657052726453357,0.8651372084090312
3,efficientnetb0,0.8801261829652997,0.8841876208897486,0.8795524010548945,0.8796808470737112,0.8837731884484783,0.8801261829652997,0.8797633166832646
4,efficientnetb0,0.8688007213706042,0.8726659407389483,0.8682065394173595,0.8683128697106625,0.8722540731013378,0.8688007213706042,0.8684068263266513
5,efficientnetb0,0.8678990081154193,0.8714810638863052,0.8673258454011996,0.8674365810936481,0.871086430623411,0.8678990081154193,0.8675283605025492
