epoch,accuracy,loss,lr,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.8955823183059692,0.23792971670627594,1e-05,0.9176903963088989,0.866589367389679,0.8245192766189575,0.35730642080307007,0.839195966720581,0.8028846383094788
1,0.9082042574882507,0.22702188789844513,1e-05,0.9192771315574646,0.8913550972938538,0.826923131942749,0.3519973158836365,0.8469387292861938,0.7980769276618958
2,0.8973035216331482,0.24517600238323212,1e-05,0.9123649001121521,0.8775981664657593,0.8293269276618958,0.3514518141746521,0.8407959938049316,0.8125000596046448
3,0.9139414429664612,0.21272945404052734,1e-05,0.929526150226593,0.8926487565040588,0.8293269276618958,0.35786640644073486,0.8341463208198547,0.822115421295166
4,0.9150888919830322,0.19664961099624634,1e-05,0.9302045702934265,0.8957126140594482,0.8317307829856873,0.35513734817504883,0.8415841460227966,0.817307710647583
5,0.9156626462936401,0.2029949128627777,1e-05,0.9333333373069763,0.8932715058326721,0.8389423489570618,0.3633369505405426,0.8472906351089478,0.826923131942749
6,0.9179575443267822,0.20528703927993774,1e-05,0.9356796145439148,0.895470380783081,0.8389423489570618,0.3565977215766907,0.8507462739944458,0.822115421295166
7,0.9265633821487427,0.18647411465644836,1e-05,0.9390681385993958,0.9107763171195984,0.8437500596046448,0.3534976541996002,0.8629441261291504,0.817307710647583
8,0.9150888919830322,0.19873172044754028,5e-06,0.9342265725135803,0.8908246159553528,0.8461538553237915,0.35524699091911316,0.8636363744735718,0.822115421295166
9,0.930579423904419,0.19427701830863953,5e-06,0.9383886456489563,0.9198606014251709,0.8461538553237915,0.3587631285190582,0.85999995470047,0.826923131942749
10,0.9259896874427795,0.1844978630542755,5e-06,0.9376499056816101,0.9103608727455139,0.8413462042808533,0.35751909017562866,0.8549999594688416,0.822115421295166
