epoch,accuracy,loss,lr,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.9001721143722534,0.2368411272764206,1e-05,0.9151515364646912,0.8789290189743042,0.8149038553237915,0.3739275634288788,0.896969735622406,0.7115384936332703
1,0.9368904232978821,0.16257476806640625,1e-05,0.9439809322357178,0.9263157844543457,0.8197115659713745,0.3918069899082184,0.8982036113739014,0.7211538553237915
2,0.9512335062026978,0.13098829984664917,1e-05,0.9608541131019592,0.9396752119064331,0.8197115659713745,0.37721991539001465,0.863387942314148,0.759615421295166
3,0.9644291400909424,0.11028633266687393,1e-05,0.9649941921234131,0.9627473950386047,0.8245192766189575,0.3928312063217163,0.8770950436592102,0.754807710647583
4,0.9816408157348633,0.08197800815105438,1e-05,0.9836065173149109,0.9790210127830505,0.826923131942749,0.3917429745197296,0.8777778148651123,0.759615421295166
5,0.9873780608177185,0.06409639120101929,1e-05,0.9883313775062561,0.9860302805900574,0.8293269276618958,0.41638150811195374,0.8914285898208618,0.75
6,0.9920454025268555,0.053892090916633606,5e-06,0.9976851940155029,0.9862700700759888,0.8341346383094788,0.4229678809642792,0.8926553726196289,0.759615421295166
7,0.9925416111946106,0.043225664645433426,5e-06,0.9930635690689087,0.991916835308075,0.8293269276618958,0.4286368489265442,0.870270311832428,0.7740384936332703
8,0.9919678568840027,0.04263881966471672,5e-06,0.9953325390815735,0.9884124994277954,0.8293269276618958,0.4210774600505829,0.8586387634277344,0.7884615659713745
