fold,arch,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
1,resnet50v2,0.8220720720720721,0.8350576662143826,0.8207305936073059,0.8198782961460447,0.8342107796398841,0.8220720720720721,0.8201469217696399
2,resnet50v2,0.8558558558558559,0.8671302228851123,0.8546727549467275,0.8544262295081967,0.8663052692000447,0.8558558558558559,0.8546211785556047
3,resnet50v2,0.831081081081081,0.8409319687945642,0.829923896499239,0.8294817371356005,0.840193152216053,0.831081081081081,0.8297049014070628
4,resnet50v2,0.8603603603603603,0.8642183357652233,0.8596651445966514,0.8598028031290743,0.8637553787166398,0.8603603603603603,0.8599222796786355
5,resnet50v2,0.8581081081081081,0.8647119767923747,0.857199391171994,0.8572208809102093,0.8640928641032247,0.8581081081081081,0.8573729770012776
1,densenet121,0.8513513513513513,0.8533614046562967,0.8508371385083713,0.8509854972235218,0.8530440278186737,0.8513513513513513,0.8510852756220207
2,densenet121,0.8581081081081081,0.8647119767923747,0.857199391171994,0.8572208809102093,0.8640928641032247,0.8581081081081081,0.8573729770012776
3,densenet121,0.8265765765765766,0.8296994333579699,0.8259056316590563,0.8259328842658358,0.8293090762602958,0.8265765765765766,0.826075927001556
4,densenet121,0.8288288288288288,0.8316890575325607,0.8281887366818874,0.8282398452611219,0.8313159842233784,0.8288288288288288,0.8283757645459773
5,densenet121,0.8716216216216216,0.8776041666666667,0.8707762557077625,0.8709085066336133,0.8770059121621622,0.8716216216216216,0.8710381639041602
1,efficientnetb0,0.8288288288288288,0.8289428252259572,0.8286757990867579,0.8287419557847298,0.828893969627188,0.8288288288288288,0.8287940796111893
2,efficientnetb0,0.8153153153153153,0.8206237195538357,0.8144292237442923,0.8142259414225942,0.8201100030146241,0.8153153153153153,0.8144181838742509
3,efficientnetb0,0.8265765765765766,0.8286351362408968,0.826027397260274,0.8261099553932464,0.8283263522912487,0.8265765765765766,0.8262316826584629
4,efficientnetb0,0.8355855855855856,0.8408978174603174,0.8347336377473364,0.8346722979693645,0.8403665942728443,0.8355855855855856,0.8348383502632228
5,efficientnetb0,0.8873873873873874,0.8880052071679922,0.8871232876712328,0.8872753122778512,0.8878367108641908,0.8873873873873874,0.8873233444676524
