epoch,accuracy,learning_rate,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.791110634803772,0.0010000000474974513,0.46126601099967957,0.8093604445457458,0.7554894685745239,0.8251811861991882,0.3864079713821411,0.8248847723007202,0.82034832239151
1,0.625,0.0010000000474974513,0.7527732849121094,0.5714285969734192,0.5714285969734192,0.8251811861991882,0.3848816156387329,0.8272980451583862,0.8166819214820862
2,0.8258312344551086,0.0010000000474974513,0.38699957728385925,0.8563145995140076,0.777879536151886,0.8432971239089966,0.3500707447528839,0.872127890586853,0.8001832962036133
3,0.84375,0.0010000000474974513,0.33817434310913086,0.9375,0.7894737124443054,0.8432971239089966,0.34962090849876404,0.8728728890419006,0.7992667555809021
4,0.8344265818595886,0.0010000000474974513,0.3593215048313141,0.8682209849357605,0.7839816808700562,0.8401268124580383,0.3384627401828766,0.9300699234008789,0.7314390540122986
5,0.8125,0.0010000000474974513,0.4615771770477295,0.9166666865348816,0.6875,0.8401268124580383,0.3376520872116089,0.9300699234008789,0.7314390540122986
6,0.8456231355667114,0.0010000000474974513,0.3469558358192444,0.8788412809371948,0.7978504300117493,0.8482789993286133,0.32854726910591125,0.8880903720855713,0.7928506135940552
7,0.8125,0.0010000000474974513,0.6109595894813538,0.8181818127632141,0.692307710647583,0.8500905632972717,0.3302546441555023,0.8893442749977112,0.7956003546714783
8,0.843926727771759,0.0010000000474974513,0.3470766246318817,0.8826844096183777,0.7889193892478943,0.8478260636329651,0.33147165179252625,0.9116684794425964,0.7662695050239563
9,0.875,0.0010000000474974513,0.3978898823261261,0.9375,0.8333333134651184,0.851902186870575,0.3269939720630646,0.9089936017990112,0.7781851291656494
