epoch,accuracy,learning_rate,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.8053607940673828,0.0010000000474974513,0.4493403732776642,0.8212642073631287,0.7752628922462463,0.8310688138008118,0.37875795364379883,0.8936403393745422,0.7470210790634155
1,0.6875,0.0010000000474974513,0.6772924661636353,0.5384615659713745,0.6363636255264282,0.8278985619544983,0.3797793686389923,0.8954393863677979,0.7378551959991455
2,0.8336349129676819,0.0010000000474974513,0.3763802647590637,0.8656753897666931,0.7855019569396973,0.854619562625885,0.35147494077682495,0.8774510025978088,0.82034832239151
3,0.84375,0.0010000000474974513,0.34053197503089905,0.7692307829856873,0.8333333134651184,0.8541666865348816,0.3510643243789673,0.8780727386474609,0.8185151219367981
4,0.843926727771759,0.0010000000474974513,0.35624146461486816,0.8786420226097107,0.7937743067741394,0.8432971239089966,0.33972036838531494,0.893347442150116,0.7754353880882263
5,0.84375,0.0010000000474974513,0.47208356857299805,0.8235294222831726,0.875,0.84375,0.338878333568573,0.8942917585372925,0.7754353880882263
6,0.8486767411231995,0.0010000000474974513,0.34548428654670715,0.8818342089653015,0.801098644733429,0.8410326242446899,0.35281258821487427,0.934272289276123,0.7296058535575867
7,0.8125,0.0010000000474974513,0.35838934779167175,0.8571428656578064,0.75,0.8401268124580383,0.35162287950515747,0.932084321975708,0.7296058535575867
8,0.8508256077766418,0.0010000000474974513,0.3349507749080658,0.8824266791343689,0.8054919838905334,0.8568840622901917,0.33706945180892944,0.9023883938789368,0.7965169548988342
9,0.875,0.0010000000474974513,0.33684420585632324,0.9230769276618958,0.800000011920929,0.8564311861991882,0.33815479278564453,0.903124988079071,0.7946837544441223
