fold,arch,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
1,resnet50v2,0.8657052726453357,0.8700363196125909,0.8650492196995795,0.8651452265233571,0.8695848205078963,0.8657052726453357,0.8652509694974371
2,resnet50v2,0.87201442091032,0.8799216363240252,0.871206027782788,0.8711571802420675,0.8793350476434832,0.87201442091032,0.8712755836492846
3,resnet50v2,0.8733663812528166,0.8802288871349645,0.8726140161873981,0.8726187477541139,0.8796842438109846,0.8733663812528166,0.8727286938568642
4,resnet50v2,0.8737601442741209,0.8807463058276607,0.8729710696488284,0.8729963966838039,0.8801751102289436,0.8737601442741209,0.8731118469009449
5,resnet50v2,0.8642921550946799,0.8713603021508977,0.863485921906918,0.8634420551539315,0.8707931051649048,0.8642921550946799,0.8635683557165569
1,densenet121,0.8521856692203695,0.8600385714571217,0.8512863094812513,0.8511284125643895,0.859427538718239,0.8521856692203695,0.8512810645949321
2,densenet121,0.8535376295628662,0.8695410819423498,0.8523663629701487,0.8516240345300864,0.8687058286866357,0.8535376295628662,0.8518138753071479
3,densenet121,0.8584948174853537,0.8740119047619048,0.8573495694789062,0.8567195399008668,0.8731847679134747,0.8584948174853537,0.856899223866908
4,densenet121,0.8521190261496844,0.8605665197355239,0.8512212615636832,0.851002527310933,0.8599530146147646,0.8521190261496844,0.8511537198620139
5,densenet121,0.8611361587015329,0.8706875485391392,0.8601973470210911,0.8599978194594391,0.8700235481760972,0.8611361587015329,0.8601458035609113
1,efficientnetb0,0.8602974312753493,0.863116823050694,0.8597612300212543,0.8598807981553453,0.8627627598975112,0.8602974312753493,0.8599737658763379
2,efficientnetb0,0.8584948174853537,0.8639342704382247,0.8578065766789023,0.8577828886994745,0.8634637295253466,0.8584948174853537,0.8578962531558247
3,efficientnetb0,0.8675078864353313,0.8741576861296082,0.8667598555126037,0.8667348939821056,0.8736265519687234,0.8675078864353313,0.866849241978145
4,efficientnetb0,0.8606853020739405,0.8680543946104422,0.8598574300323978,0.859771993068825,0.8674772970021619,0.8606853020739405,0.8599046524773892
5,efficientnetb0,0.8656447249774571,0.8751053814809611,0.8647171044927593,0.8645654383319126,0.8744405785915257,0.8656447249774571,0.8647071628409235
