epoch,accuracy,learning_rate,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.8584030866622925,9.999999747378752e-06,0.3132403492927551,0.9108884930610657,0.7907987833023071,0.8564311861991882,0.3108862638473511,0.9289678335189819,0.7678899168968201
1,0.84375,9.999999747378752e-06,0.28856444358825684,0.9230769276618958,0.75,0.8573369383811951,0.3107016682624817,0.9291251301765442,0.7697247862815857
2,0.8559149503707886,9.999999747378752e-06,0.31518709659576416,0.9016904830932617,0.7946367263793945,0.8609601259231567,0.3064325153827667,0.9278688430786133,0.778899073600769
3,0.84375,9.999999747378752e-06,0.3043392300605774,1.0,0.7727272510528564,0.8605072498321533,0.30656659603118896,0.9277899265289307,0.7779816389083862
4,0.8591947555541992,9.999999747378752e-06,0.3145250082015991,0.9025521874427795,0.8015109896659851,0.8645833134651184,0.30604031682014465,0.9248120188713074,0.789908230304718
5,0.78125,9.999999747378752e-06,0.3962564468383789,0.8571428656578064,0.7058823704719543,0.8650362491607666,0.3060026466846466,0.92580646276474,0.789908230304718
6,0.8560280203819275,9.999999747378752e-06,0.3155335783958435,0.8961637020111084,0.8016472458839417,0.8632246255874634,0.3061502277851105,0.9273318648338318,0.7844036817550659
7,0.90625,9.999999747378752e-06,0.24676501750946045,0.8666666746139526,0.9285714030265808,0.864130437374115,0.306082159280777,0.927489161491394,0.7862385511398315
8,0.8605518937110901,9.999999747378752e-06,0.3079054653644562,0.9001787304878235,0.8072344064712524,0.8623188138008118,0.30703914165496826,0.9262472987174988,0.7834862470626831
9,0.90625,9.999999747378752e-06,0.23697009682655334,0.9375,0.8823529481887817,0.8623188138008118,0.30694666504859924,0.9262472987174988,0.7834862470626831
10,0.861795961856842,4.999999873689376e-06,0.3101336359977722,0.9040040969848633,0.8059496283531189,0.8623188138008118,0.3058396577835083,0.9290392994880676,0.7807339429855347
11,0.875,4.999999873689376e-06,0.2898990213871002,0.8666666746139526,0.8666666746139526,0.8623188138008118,0.30595049262046814,0.9290392994880676,0.7807339429855347
12,0.8612304925918579,4.999999873689376e-06,0.31124189496040344,0.9055340886116028,0.8035632967948914,0.86277174949646,0.3049996793270111,0.9263271689414978,0.7844036817550659
13,0.8125,4.999999873689376e-06,0.3751831650733948,0.5384615659713745,1.0,0.8632246255874634,0.3048110008239746,0.9264069199562073,0.7853211164474487
14,0.8608912229537964,4.999999873689376e-06,0.30363911390304565,0.9032092690467834,0.804850161075592,0.8650362491607666,0.3017093539237976,0.9248927235603333,0.7908256649971008
15,0.84375,4.999999873689376e-06,0.2759532928466797,0.8461538553237915,0.7857142686843872,0.8650362491607666,0.3017299175262451,0.9248927235603333,0.7908256649971008
16,0.8606650233268738,4.999999873689376e-06,0.3041524589061737,0.9035741686820984,0.8039350509643555,0.8623188138008118,0.30387744307518005,0.9253246784210205,0.7844036817550659
17,0.84375,4.999999873689376e-06,0.36789757013320923,0.8461538553237915,0.7857142686843872,0.8623188138008118,0.30383700132369995,0.9253246784210205,0.7844036817550659
18,0.8649626970291138,4.999999873689376e-06,0.3026619255542755,0.9042282104492188,0.8127289414405823,0.86277174949646,0.30411744117736816,0.9254053831100464,0.7853211164474487
19,0.8125,4.999999873689376e-06,0.507907509803772,0.8666666746139526,0.7647058963775635,0.86277174949646,0.30409926176071167,0.9254053831100464,0.7853211164474487
