epoch,accuracy,loss,lr,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.8973035216331482,0.249115988612175,1e-05,0.9086595773696899,0.882488489151001,0.8100962042808533,0.39759427309036255,0.9161289930343628,0.6826923489570618
1,0.9231210350990295,0.18943282961845398,1e-05,0.9260563254356384,0.9174418449401855,0.826923131942749,0.386924147605896,0.914634108543396,0.7211538553237915
2,0.9512335062026978,0.13976824283599854,1e-05,0.95652174949646,0.9443156123161316,0.8317307829856873,0.37380915880203247,0.8965517282485962,0.75
3,0.958118200302124,0.11218593269586563,1e-05,0.963443398475647,0.9511059522628784,0.8317307829856873,0.39592933654785156,0.9058823585510254,0.7403846383094788
4,0.976477324962616,0.08522255718708038,1e-05,0.9812426567077637,0.9709977507591248,0.8317307829856873,0.435276597738266,0.9367088675498962,0.7115384936332703
5,0.9845094680786133,0.06520072370767593,1e-05,0.9917647838592529,0.9768249988555908,0.8365384936332703,0.4275880455970764,0.9166666865348816,0.7403846383094788
6,0.9879518151283264,0.05433276295661926,1e-05,0.9929824471473694,0.9826388955116272,0.8437500596046448,0.4565044045448303,0.913294792175293,0.759615421295166
7,0.9908204078674316,0.048103343695402145,1e-05,0.9918510317802429,0.9895470142364502,0.826923131942749,0.4933195412158966,0.9096385836601257,0.7259615659713745
8,0.9931153059005737,0.0375622883439064,5e-06,0.9953542351722717,0.9907514452934265,0.8293269276618958,0.48669928312301636,0.8914285898208618,0.75
9,0.9948365092277527,0.03506370261311531,5e-06,0.9953380227088928,0.9941793084144592,0.8293269276618958,0.4961118996143341,0.8784530758857727,0.764423131942749
10,0.9965576529502869,0.031951989978551865,5e-06,0.9976770877838135,0.9953649640083313,0.8317307829856873,0.4817860722541809,0.8833333253860474,0.764423131942749
