epoch,accuracy,loss,lr,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.7561675310134888,0.5290054678916931,0.001,0.7580071091651917,0.7430232763290405,0.8197115659713745,0.44767773151397705,0.9235668778419495,0.697115421295166
1,0.8238669037818909,0.39297619462013245,0.001,0.8424317836761475,0.7904540300369263,0.8028846383094788,0.4234515130519867,0.7715517282485962,0.8605769276618958
2,0.8525530695915222,0.3404006063938141,0.001,0.8706896305084229,0.8230500817298889,0.8317307829856873,0.37725630402565,0.8415841460227966,0.817307710647583
3,0.8623063564300537,0.30969706177711487,0.001,0.8714286088943481,0.8472222089767456,0.817307710647583,0.37210240960121155,0.8510637879371643,0.7692307829856873
4,0.8944348692893982,0.2545529305934906,0.001,0.9082125425338745,0.8744186162948608,0.8389423489570618,0.342886745929718,0.8810811042785645,0.7836538553237915
5,0.9085227251052856,0.21449974179267883,0.001,0.9247312545776367,0.8876146674156189,0.822115421295166,0.3892970085144043,0.8252426981925964,0.817307710647583
6,0.9219735860824585,0.20092888176441193,0.001,0.9221835136413574,0.920046329498291,0.8461538553237915,0.3918420374393463,0.9235294461250305,0.754807710647583
7,0.9219735860824585,0.19744765758514404,0.001,0.9293286800384521,0.9121387004852295,0.8317307829856873,0.39348268508911133,0.875,0.7740384936332703
8,0.9426276683807373,0.14982804656028748,0.0005,0.9512485265731812,0.9313154816627502,0.853365421295166,0.38480833172798157,0.910614550113678,0.7836538553237915
9,0.9472174048423767,0.1276545524597168,0.0005,0.9497663378715515,0.9431555271148682,0.8461538553237915,0.41150322556495667,0.878947377204895,0.8028846383094788
