fold,arch,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
1,densenet121,0.8562415502478594,0.8611091856135625,0.8555347381557481,0.8555638330194086,0.8606347229605879,0.8562415502478594,0.8556842170007781
2,densenet121,0.8657052726453357,0.8755895230112642,0.8647945214383093,0.8645942713921811,0.8749340687429668,0.8657052726453357,0.8647324556276481
3,densenet121,0.8702118071203244,0.8784849579682227,0.8693828737262701,0.8693033734336577,0.8778854542835923,0.8702118071203244,0.8694261347426668
4,densenet121,0.8611361587015329,0.8676752691597966,0.8603559207359122,0.8603155752721943,0.8671338141536984,0.8611361587015329,0.8604410762672696
5,densenet121,0.8651938683498648,0.8706825897638414,0.8644829033139467,0.8645150284736587,0.8701870801917463,0.8651938683498648,0.8646274478162151
