epoch,accuracy,learning_rate,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.8755937814712524,9.999999747378752e-06,0.2832197844982147,0.9130874276161194,0.8270022869110107,0.8623188138008118,0.2951229214668274,0.9207708835601807,0.78899085521698
1,0.96875,9.999999747378752e-06,0.23634330928325653,1.0,0.9333333373069763,0.8623188138008118,0.29505565762519836,0.9207708835601807,0.78899085521698
2,0.8705044388771057,9.999999747378752e-06,0.28351837396621704,0.9067305326461792,0.822735607624054,0.866847813129425,0.2940582036972046,0.9288793206214905,0.7908256649971008
3,0.90625,9.999999747378752e-06,0.32507163286209106,0.8571428656578064,0.9230769276618958,0.866847813129425,0.2939453125,0.9288793206214905,0.7908256649971008
4,0.8755937814712524,9.999999747378752e-06,0.2819903790950775,0.9147051572799683,0.8256796598434448,0.8632246255874634,0.2936762571334839,0.9301310181617737,0.7816513776779175
5,0.84375,9.999999747378752e-06,0.22208459675312042,0.6153846383094788,1.0,0.86277174949646,0.29341721534729004,0.9291166663169861,0.7816513776779175
6,0.8768377900123596,9.999999747378752e-06,0.27883094549179077,0.9130982160568237,0.8297092914581299,0.8686594367027283,0.2918887138366699,0.9282655119895935,0.7954128384590149
7,0.8125,9.999999747378752e-06,0.35514605045318604,0.8571428656578064,0.75,0.8686594367027283,0.2916792333126068,0.9282655119895935,0.7954128384590149
8,0.8804569244384766,9.999999747378752e-06,0.2744852304458618,0.917549192905426,0.8329136967658997,0.8663949370384216,0.2939254343509674,0.9315961003303528,0.7871559858322144
9,0.875,9.999999747378752e-06,0.2874675989151001,0.9285714030265808,0.8125,0.866847813129425,0.29380807280540466,0.9316703081130981,0.7880734205245972
10,0.8826057314872742,9.999999747378752e-06,0.2710185945034027,0.9223547577857971,0.8323792219161987,0.8709239363670349,0.2879449129104614,0.9314040541648865,0.7972477078437805
11,0.84375,9.999999747378752e-06,0.2693054676055908,0.9333333373069763,0.7777777910232544,0.8709239363670349,0.28795892000198364,0.9314040541648865,0.7972477078437805
12,0.8793259263038635,9.999999747378752e-06,0.2725997567176819,0.9169191718101501,0.8310826420783997,0.8691123127937317,0.28827613592147827,0.9283422231674194,0.7963302731513977
13,0.84375,9.999999747378752e-06,0.27151837944984436,0.8235294222831726,0.875,0.8691123127937317,0.2882365584373474,0.9283422231674194,0.7963302731513977
14,0.8798914551734924,9.999999747378752e-06,0.27234700322151184,0.9132716655731201,0.8363469839096069,0.8686594367027283,0.28936073184013367,0.9273504018783569,0.7963302731513977
15,0.8125,9.999999747378752e-06,0.3132748007774353,0.8571428656578064,0.75,0.8686594367027283,0.2894246578216553,0.9273504018783569,0.7963302731513977
16,0.8817009925842285,4.999999873689376e-06,0.2701582908630371,0.918156623840332,0.8348981142044067,0.8682065010070801,0.29076841473579407,0.9272727370262146,0.7954128384590149
17,0.84375,4.999999873689376e-06,0.22263208031654358,0.8823529481887817,0.8333333134651184,0.8682065010070801,0.2907263934612274,0.9272727370262146,0.7954128384590149
18,0.884528398513794,4.999999873689376e-06,0.26675018668174744,0.9185814261436462,0.8410701751708984,0.8682065010070801,0.29192623496055603,0.9300323128700256,0.7926605343818665
