epoch,accuracy,learning_rate,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.8761732578277588,9.999999747378752e-06,0.27677616477012634,0.9036233425140381,0.8389015793800354,0.8550724387168884,0.3297211229801178,0.8654028177261353,0.8368469476699829
1,0.8125,9.999999747378752e-06,0.2688356041908264,0.9166666865348816,0.6875,0.8537137508392334,0.3301820755004883,0.8657143115997314,0.8331805467605591
2,0.905914306640625,9.999999747378752e-06,0.21654336154460907,0.9302212595939636,0.8753145933151245,0.8636775612831116,0.31472474336624146,0.935982346534729,0.7772685885429382
3,0.875,9.999999747378752e-06,0.20513905584812164,0.9230769276618958,0.800000011920929,0.8632246255874634,0.31439492106437683,0.9349504113197327,0.7772685885429382
4,0.9278525114059448,9.999999747378752e-06,0.17780011892318726,0.9488349556922913,0.9028571248054504,0.8663949370384216,0.3125632405281067,0.8956262469291687,0.825847864151001
5,0.9375,9.999999747378752e-06,0.1903001070022583,0.8461538553237915,1.0,0.8663949370384216,0.31244906783103943,0.8956262469291687,0.825847864151001
6,0.9536356329917908,9.999999747378752e-06,0.1280423402786255,0.9680548906326294,0.9370132684707642,0.8586956262588501,0.32582351565361023,0.8814887404441833,0.824931263923645
7,0.875,9.999999747378752e-06,0.17477330565452576,1.0,0.800000011920929,0.8586956262588501,0.3266175091266632,0.8799999952316284,0.8267644643783569
8,0.9730860590934753,9.999999747378752e-06,0.09272675961256027,0.9818139672279358,0.9633951187133789,0.8582427501678467,0.33194541931152344,0.8621973991394043,0.8487626314163208
9,1.0,9.999999747378752e-06,0.07680220901966095,1.0,1.0,0.8591485619544983,0.331670880317688,0.8631284832954407,0.849679172039032
10,0.9854121804237366,9.999999747378752e-06,0.05709512159228325,0.9907428622245789,0.9796338677406311,0.8659420013427734,0.3674077093601227,0.920634925365448,0.7974335551261902
11,1.0,4.999999873689376e-06,0.03301050886511803,1.0,1.0,0.8659420013427734,0.36768245697021484,0.9215270280838013,0.7965169548988342
12,0.9945719838142395,4.999999873689376e-06,0.0349716916680336,0.9951834678649902,0.9938158392906189,0.8704710006713867,0.38228362798690796,0.895771861076355,0.835013747215271
13,0.9375,4.999999873689376e-06,0.1256299614906311,1.0,0.8999999761581421,0.8695651888847351,0.38207197189331055,0.8940137624740601,0.835013747215271
