epoch,accuracy,loss,lr,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.9307927489280701,0.1690676063299179,1e-05,0.9406660199165344,0.9178490042686462,0.8550724983215332,0.350506991147995,0.8703170418739319,0.830430805683136
1,0.9327151775360107,0.16046935319900513,1e-05,0.9465341567993164,0.9155606627464294,0.8523550629615784,0.3472784161567688,0.8660287261009216,0.82951420545578
2,0.9327151775360107,0.15829592943191528,1e-05,0.9427230358123779,0.9196244478225708,0.85326087474823,0.3468959927558899,0.8607714176177979,0.83868008852005
3,0.9415357112884521,0.1504921019077301,1e-05,0.9551569819450378,0.9252400398254395,0.8550724983215332,0.350962370634079,0.8783120512962341,0.82034832239151
4,0.9406310319900513,0.1479221135377884,1e-05,0.953570544719696,0.9250114560127258,0.8509963750839233,0.3505152761936188,0.8656430244445801,0.8267644047737122
5,0.9407441020011902,0.14057660102844238,1e-05,0.9545776844024658,0.9239752292633057,0.85326087474823,0.35518208146095276,0.8567442297935486,0.844179630279541
6,0.9496777653694153,0.129263237118721,1e-05,0.9620819687843323,0.9349965453147888,0.854619562625885,0.3571508228778839,0.8745136260986328,0.8240146636962891
7,0.948320746421814,0.13120907545089722,1e-05,0.9617563486099243,0.9324788451194763,0.8537138104438782,0.352484792470932,0.8720930218696594,0.824931263923645
8,0.950016975402832,0.1250404715538025,5e-06,0.9634261131286621,0.9343249797821045,0.85326087474823,0.3576718270778656,0.8662846088409424,0.8313474059104919
9,0.950808584690094,0.12269122898578644,5e-06,0.9615474939346313,0.9380146265029907,0.8528079986572266,0.3601961135864258,0.8599624037742615,0.83868008852005
10,0.950016975402832,0.12441295385360718,5e-06,0.9625265002250671,0.9351957440376282,0.8523550629615784,0.3608633875846863,0.861873209476471,0.835013747215271
