fold,arch,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
1,resnet50v2,0.8652546191978369,0.8664216706071628,0.8649110990503799,0.8650519214126122,0.8662043575861159,0.8652546191978369,0.8651155590893689
2,resnet50v2,0.8666065795403335,0.8725261345081385,0.8658990570621221,0.8659006459726748,0.8720278554704445,0.8666065795403335,0.8660102629862864
3,resnet50v2,0.8693105002253267,0.8706843637206584,0.8689689267602292,0.8690999259566643,0.8704598762214212,0.8693105002253267,0.8691590760321313
4,resnet50v2,0.8638412984670875,0.8689019957705525,0.8631565764992128,0.8631988268980193,0.8684286931450486,0.8638412984670875,0.863308723350623
5,resnet50v2,0.8588818755635708,0.8624918859282868,0.8582969020388513,0.8583726298416817,0.8621008014721093,0.8588818755635708,0.8584721816369383
1,densenet121,0.8657052726453357,0.8685759130875472,0.8651698721490273,0.8653047672590094,0.8682154140552696,0.8657052726453357,0.865394136229512
2,densenet121,0.8702118071203244,0.872760035711653,0.8697484794862671,0.8698743604403982,0.8724430918570102,0.8702118071203244,0.8699490167855145
3,densenet121,0.8711131140153222,0.8766019869759574,0.8704366307723057,0.8704811654682836,0.8761205068916911,0.8711131140153222,0.8705830926532899
4,densenet121,0.8688007213706042,0.8714034787043954,0.8683122552272402,0.8684470718152317,0.8710717547304808,0.8688007213706042,0.8685270273668811
5,densenet121,0.8642921550946799,0.8704478955101067,0.8635387798118583,0.8635369587999425,0.8699214177114187,0.8642921550946799,0.8636559594282042
1,efficientnetb0,0.8702118071203244,0.8726633581472292,0.8697209475401524,0.8698743604403982,0.8723307356460913,0.8702118071203244,0.869954989293124
2,efficientnetb0,0.8652546191978369,0.8674924500969825,0.864816051555287,0.8649346731274594,0.8671995402934295,0.8652546191978369,0.8650087347178245
3,efficientnetb0,0.8602974312753493,0.8614727991554447,0.8599750250643059,0.8600921424294491,0.8612701495209455,0.8602974312753493,0.8601525215017726
4,efficientnetb0,0.8715058611361587,0.8735906737829915,0.8710706246665886,0.8712172499169297,0.8732960806915913,0.8715058611361587,0.8712887155521674
5,efficientnetb0,0.8534715960324617,0.8537203620344205,0.853308742209558,0.853387881949635,0.8536395130837838,0.8534715960324617,0.85342894923555
