epoch,accuracy,learning_rate,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.5013004541397095,0.0010000000474974513,0.786774754524231,0.4953693151473999,0.5019454956054688,0.5058876872062683,0.6931272149085999,0.0,0.0
1,0.53125,0.0010000000474974513,0.7266452312469482,0.5416666865348816,0.7647058963775635,0.5058876872062683,0.6931185126304626,0.0,0.0
2,0.5053714513778687,0.0010000000474974513,0.7118232250213623,0.4993918836116791,0.46990159153938293,0.5054348111152649,0.6931322813034058,0.0,0.0
3,0.71875,0.0010000000474974513,0.6611913442611694,0.699999988079071,0.8235294222831726,0.5040760636329651,0.6931362152099609,0.0,0.0
4,0.5051453113555908,0.0005000000237487257,0.7002958059310913,0.49977707862854004,0.512574315071106,0.5058876872062683,0.6930446028709412,0.0,0.0
5,0.53125,0.0005000000237487257,0.6989787220954895,0.4000000059604645,0.5,0.5058876872062683,0.6930437684059143,0.0,0.0
6,0.5057107210159302,0.0005000000237487257,0.6965685486793518,0.5003405213356018,0.5038865804672241,0.5058876872062683,0.693069338798523,0.0,0.0
7,0.5,0.0002500000118743628,0.701881468296051,0.4000000059604645,0.6666666865348816,0.5058876872062683,0.6930695176124573,0.0,0.0
8,0.5039013624191284,0.0002500000118743628,0.6948757767677307,0.49789872765541077,0.5698580145835876,0.5058876872062683,0.6930569410324097,0.0,0.0
9,0.3125,0.0002500000118743628,0.7140985131263733,0.4285714328289032,0.30000001192092896,0.5058876872062683,0.6930533051490784,0.0,0.0
