epoch,accuracy,loss,lr,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.8761593103408813,0.2834112048149109,1e-05,0.9148721098899841,0.8263158202171326,0.8600543737411499,0.3160480260848999,0.8674812316894531,0.8460128307342529
1,0.9065822958946228,0.2214055359363556,1e-05,0.9377777576446533,0.8687099814414978,0.8650362491607666,0.30316656827926636,0.8838335275650024,0.8368469476699829
2,0.928070604801178,0.18176375329494476,1e-05,0.9523002505302429,0.8995882868766785,0.8636775612831116,0.3128502666950226,0.875475287437439,0.844179630279541
3,0.9478625059127808,0.14193220436573029,1e-05,0.9677033424377441,0.9254175424575806,0.8645833730697632,0.31826427578926086,0.8785851001739502,0.8423464894294739
4,0.9636960625648499,0.10650449991226196,1e-05,0.9771388173103333,0.9487414360046387,0.864130437374115,0.32421374320983887,0.8770257830619812,0.8432630300521851
5,0.9795295596122742,0.06937823444604874,1e-05,0.9881174564361572,0.9702585339546204,0.864130437374115,0.3529447615146637,0.893532395362854,0.8230980634689331
6,0.9890297055244446,0.04634933918714523,1e-05,0.9926182627677917,0.9851190447807312,0.8614130616188049,0.38948944211006165,0.8905473351478577,0.82034832239151
7,0.9940059185028076,0.03177107870578766,5e-06,0.9958592057228088,0.9919798374176025,0.8632246255874634,0.3875933587551117,0.8856304883956909,0.830430805683136
8,0.9978511929512024,0.019982317462563515,5e-06,0.9981680512428284,0.9974828362464905,0.8632246255874634,0.41627293825149536,0.8818973898887634,0.835013747215271
9,0.9987559914588928,0.016677126288414,5e-06,0.9995414614677429,0.9979400038719177,0.864130437374115,0.42231643199920654,0.8770257830619812,0.8432630300521851
