epoch,accuracy,learning_rate,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.9046703577041626,9.999999747378752e-06,0.22143498063087463,0.9275327324867249,0.8755433559417725,0.873641312122345,0.2831275165081024,0.909919023513794,0.8255280256271362
1,0.84375,9.999999747378752e-06,0.29373669624328613,1.0,0.6666666865348816,0.8745471239089966,0.2831156849861145,0.9101009964942932,0.8273645639419556
2,0.9032002687454224,9.999999747378752e-06,0.21563909947872162,0.9243596196174622,0.8756868243217468,0.876358687877655,0.283139169216156,0.9154785871505737,0.8255280256271362
3,0.90625,9.999999747378752e-06,0.17388400435447693,0.9411764740943909,0.8888888955116272,0.876358687877655,0.28323084115982056,0.9154785871505737,0.8255280256271362
4,0.9100983738899231,9.999999747378752e-06,0.2109103947877884,0.9308100342750549,0.8837262392044067,0.8759058117866516,0.2844330072402954,0.9153924584388733,0.8246097564697266
5,0.90625,9.999999747378752e-06,0.17982283234596252,1.0,0.8235294222831726,0.875,0.2844528257846832,0.9143730998039246,0.8236914873123169
6,0.9121338725090027,4.999999873689376e-06,0.20890428125858307,0.9320038557052612,0.8870340585708618,0.875,0.28393569588661194,0.9126903414726257,0.8255280256271362
7,0.90625,4.999999873689376e-06,0.18782413005828857,0.8571428656578064,0.9230769276618958,0.8745471239089966,0.2838917076587677,0.9117646813392639,0.8255280256271362
8,0.9153002500534058,4.999999873689376e-06,0.20308060944080353,0.9402332305908203,0.8849759697914124,0.876358687877655,0.2844330370426178,0.9154785871505737,0.8255280256271362
9,0.96875,4.999999873689376e-06,0.11806325614452362,1.0,0.9230769276618958,0.8759058117866516,0.2844362258911133,0.914547324180603,0.8255280256271362
